name,team,position,bye,projectedPoints,adp,adpStdev,sleeperId,tier,ballersRank,risk,upside
Jerry Jeudy,CLE,WR,11,95.3,212,,6783,11,164,5.5,5.5
Tampa Bay Buccaneers,TB,DST,10,103.8,212,,TB,,,,
Nicholas Singleton,TEN,RB,9,68.8,213,,13288,10,222,5.4,5.7
Washington Commanders,WAS,DST,7,102.5,215,,WAS,,,,
Zachariah Branch,ATL,WR,11,84.1,215,,13320,11,191,4.3,5.2
Jauan Jennings,MIN,WR,6,109.5,216,,7049,10,215,6.4,5.3
Miami Dolphins,MIA,DST,6,101.2,218,,MIA,,,,
Chris Bell,MIA,WR,6,69.2,221,,13311,11,219,6.3,5.6
Cincinnati Bengals,CIN,DST,6,99.9,221,,CIN,,,,
Justice Hill,BAL,RB,13,69.1,222,,5995,10,225,3.7,4
David Njoku,LAC,TE,7,84.6,223,,4033,7,200,5.3,3.9
Bryce Young,CAR,QB,5,285.9,224,,9228,7,145,4,5.4
Pat Bryant,DEN,WR,10,100.6,224,,12492,10,158,4,4.7
Tennessee Titans,TEN,DST,9,98.6,224,,TEN,,,,
Jordan James,SF,RB,8,78.5,226,,12467,10,204,4.8,4.2
Adonai Mitchell,NYJ,WR,13,91.5,227,,11625,11,177,4.6,4.5
Las Vegas Raiders,LV,DST,13,97.3,227,,LV,,,,
Jaydon Blue,DAL,RB,14,28.4,228,,12457,10,308,4,4
Jaylen Wright,MIA,RB,6,42,230,,11643,10,271,5,4.8
New York Jets,NYJ,DST,13,96,230,,NYJ,,,,
Pat Freiermuth,PIT,TE,9,101.7,230,,7600,6,172,4.2,3.8
Tre' Harris,LAC,WR,7,86.1,230,,12509,11,189,4.3,5.1
James Conner,ARI,RB,14,59.7,232,,4137,10,237,4.3,3.3
Arizona Cardinals,ARI,DST,14,94.7,233,,ARI,,,,
Kimani Vidal,LAC,RB,7,75,234,,11647,10,210,4.4,3.9
Aaron Rodgers,PIT,QB,9,285.4,236,,96,7,143,7,3.8
Ryan Flournoy,DAL,WR,14,85.1,236,,11783,11,190,4.3,4.8
Isaac TeSlaa,DET,WR,6,76.2,237,,12535,11,203,7.8,6.3
Kaytron Allen,WAS,RB,7,42.1,237,,13405,10,277,5.3,3.5
Antonio Williams,WAS,WR,7,73,238,,13301,11,214,5.3,5.2
Ted Hurst III,TB,WR,10,59.4,240,,13317,11,280,4.3,3.3
Germie Bernard,PIT,WR,9,90.4,241,,13274,11,179,5.4,4.1
Keon Coleman,BUF,WR,7,87.3,242,,11637,11,186,5.4,5.3
Greg Dulcich,MIA,TE,6,105.7,243,,8172,6,163,4.8,5.8
Demond Claiborne,MIN,RB,6,38.5,244,,13347,10,282,5.3,4.8
Gunnar Helm,TEN,TE,9,75.4,244,,12502,7,221,4.2,4.3
Cade Otton,TB,TE,10,96.8,246,,8111,7,185,3.8,3.8
Eli Stowers,PHI,TE,10,63.4,249,,13349,7,242,6.3,5.3
Sean Tucker,TB,RB,10,39.8,249,,9506,10,279,4.8,3.2
Calvin Ridley,TEN,WR,9,89.8,251,,4981,11,182,5.2,4.7
Shedeur Sanders,CLE,QB,11,205.1,252,,12524,8,217,8.1,5.8
